m,alpha_initial,beta_exploration,consumer_surplus_raw,consumer_surplus_per_quality_cost,consumer_surplus_normalized,total_profit_normalized
1,0.05,5e-06,24.0783152424444,0.53507367205432,0.24552898466927656,0.46638045685716006
1,0.05,7.5e-06,23.87048022597198,0.5304551161327107,0.3222105727593305,0.5496770378816911
1,0.05,9.999999999999999e-06,24.419886234740943,0.5426641385497988,0.1818708792940322,0.3417134450398833
1,0.05,1.2499999999999999e-05,24.150790880381656,0.536684241786259,0.2386367792382494,0.4031591662456423
1,0.05,1.5e-05,24.62776589723032,0.5472836866051182,0.15458686536033855,0.2829797048088565
1,0.1,5e-06,23.568432325544446,0.5237429405676544,0.38500494291189796,0.6592605434036991
1,0.1,7.5e-06,23.955884193754788,0.5323529820834397,0.27672742344541545,0.46913103318360294
1,0.1,9.999999999999999e-06,23.977046470192782,0.532823254893173,0.3047476797660872,0.4734333048777097
1,0.1,1.2499999999999999e-05,24.254161554390848,0.5389813678753522,0.23057042846699158,0.38783448439760887
1,0.1,1.5e-05,24.299202676128612,0.5399822816917469,0.20098063966183244,0.4152238826584443
1,0.15000000000000002,5e-06,23.674425391200963,0.526098342026688,0.35247090519222324,0.594256814666662
1,0.15000000000000002,7.5e-06,23.721851685561134,0.5271522596791364,0.3347983665245941,0.5707134035453882
1,0.15000000000000002,9.999999999999999e-06,23.851788459402734,0.530039743542283,0.28854565480991984,0.5590312990841395
1,0.15000000000000002,1.2499999999999999e-05,24.023532577606872,0.5338562795023749,0.2826657151229992,0.48006654843513735
1,0.15000000000000002,1.5e-05,24.11345658467159,0.5358545907704797,0.23580462533799446,0.46283333000086485
1,0.2,5e-06,23.746701496968214,0.5277044777104047,0.30584714510487154,0.551906567733166
1,0.2,7.5e-06,23.812741838242303,0.5291720408498289,0.31109711301881915,0.5445085514822414
1,0.2,9.999999999999999e-06,24.24908985542575,0.5388686634539056,0.25182733828319115,0.4668794716104267
1,0.2,1.2499999999999999e-05,23.97623175032627,0.5328051500072505,0.2826412857962103,0.4686910701930154
1,0.2,1.5e-05,24.3001455667982,0.5400032348177377,0.2055760501993841,0.38681131100452104
1,0.25,5e-06,24.43708464917334,0.5430463255371855,0.18202917759596468,0.46041511647960254
1,0.25,7.5e-06,24.23818494706741,0.5386263321570536,0.22056992253976113,0.42486108474686113
1,0.25,9.999999999999999e-06,23.998658132247325,0.5333035140499406,0.27249366584658946,0.536037598860345
1,0.25,1.2499999999999999e-05,24.590034106676466,0.5464452023705882,0.16082911067193367,0.3809792152014358
1,0.25,1.5e-05,24.032743879053196,0.534060975090071,0.29884623297850127,0.5627567273177941
2,0.05,5e-06,26.870049532317918,0.597112211829287,0.1673295002674959,0.13844305226201206
2,0.05,7.5e-06,26.62303316326286,0.5916229591836193,0.23297096687625632,0.18191066457180025
2,0.05,9.999999999999999e-06,26.85464004615938,0.5967697788035419,0.1670404856586612,0.12259829136037016
2,0.05,1.2499999999999999e-05,27.046454414183053,0.601032320315179,0.11083727998995148,0.08037900489266292
2,0.05,1.5e-05,26.992407038385235,0.5998312675196719,0.10590782782865342,0.05571108218894715
2,0.1,5e-06,26.527984707480236,0.5895107712773385,0.25423553981737607,0.20654093431404832
2,0.1,7.5e-06,26.662369095794734,0.5924970910176608,0.2256352292620269,0.20282037340217188
2,0.1,9.999999999999999e-06,26.744755549750472,0.594327901105566,0.19604198611694015,0.174310003866021
2,0.1,1.2499999999999999e-05,26.849906781760875,0.5966645951502416,0.15946938132425925,0.14263954102747217
2,0.1,1.5e-05,26.95065694710539,0.5989034877134531,0.12468863777178125,0.11598080259733369
2,0.15000000000000002,5e-06,26.428521973300395,0.5873004882955644,0.31650209831068343,0.2975624793285217
2,0.15000000000000002,7.5e-06,26.488749389144413,0.5886388753143204,0.28001368541825894,0.27748183592810066
2,0.15000000000000002,9.999999999999999e-06,26.48728847395497,0.5886064105323326,0.28563440274644736,0.21491780940608154
2,0.15000000000000002,1.2499999999999999e-05,26.76476896999209,0.5947726437776022,0.22237279193575504,0.17123885880727954
2,0.15000000000000002,1.5e-05,26.910148342012935,0.5980032964891763,0.16332196445176983,0.1686018071781962
2,0.2,5e-06,26.548829392970337,0.589973986510452,0.2597315188240744,0.25380464222280424
2,0.2,7.5e-06,26.87272337056532,0.5971716304570073,0.15350671557383355,0.13317408379429135
2,0.2,9.999999999999999e-06,26.788118222062806,0.5952915160458402,0.2030798409631168,0.1799261952055845
2,0.2,1.2499999999999999e-05,26.800422490657137,0.5955649442368253,0.21206719181119282,0.19449059232219845
2,0.2,1.5e-05,26.896249988686847,0.597694444193041,0.19365085294217377,0.1574082068837042
2,0.25,5e-06,26.75847063295485,0.59463268073233,0.1906991539303966,0.18952557056960437
2,0.25,7.5e-06,27.037171196652288,0.6008260265922731,0.14351339450087586,0.11098252996874997
2,0.25,9.999999999999999e-06,26.775599605895973,0.5950133245754661,0.17455614351738913,0.15843546832367422
2,0.25,1.2499999999999999e-05,26.658471633081422,0.5924104807351427,0.2102449860301255,0.22173210696531767
2,0.25,1.5e-05,26.667877392981303,0.5926194976218068,0.2375233993174817,0.21036596680383784
3,0.05,5e-06,26.66804382781803,0.5926231961737339,0.25820665338078486,0.22631721813797262
3,0.05,7.5e-06,26.957694009748295,0.5990598668832954,0.1740550341620409,0.11698382302351344
3,0.05,9.999999999999999e-06,26.840535958229463,0.5964563546273214,0.18805517750932296,0.17400578293812458
3,0.05,1.2499999999999999e-05,27.146310375955068,0.6032513416878903,0.08872290662586853,0.09524891628193993
3,0.05,1.5e-05,27.175930359006895,0.6039095635334865,0.10088005571267654,0.062264009970348456
3,0.1,5e-06,26.57063044171066,0.5904584542602369,0.2848757545893728,0.2615516485452281
3,0.1,7.5e-06,26.678407235048343,0.5928534941121855,0.23767933990079876,0.1924290924026607
3,0.1,9.999999999999999e-06,26.87686742030552,0.5972637204512338,0.1685500094561635,0.18213180272049154
3,0.1,1.2499999999999999e-05,27.141303528902498,0.6031400784200556,0.1083762542907654,0.11081835249297381
3,0.1,1.5e-05,26.952975757155908,0.5989550168256869,0.1553062869867169,0.15632494405754724
3,0.15000000000000002,5e-06,26.684795969822,0.5929954659960447,0.2480196722030562,0.2021363152427334
3,0.15000000000000002,7.5e-06,26.30661801141095,0.5845915113646879,0.3937585022686105,0.30032170355791066
3,0.15000000000000002,9.999999999999999e-06,26.920981179176273,0.5982440262039173,0.17041500421090924,0.15774332390923287
3,0.15000000000000002,1.2499999999999999e-05,26.962801149233986,0.5991733588718664,0.16019145041145536,0.1715311066518145
3,0.15000000000000002,1.5e-05,27.054038728338647,0.6012008606297476,0.14967349351840828,0.1482369119179295
3,0.2,5e-06,26.392199232514436,0.5864933162780985,0.35155305086333455,0.31851350298310704
3,0.2,7.5e-06,26.66726400440604,0.5926058667645786,0.2637107956594262,0.24806069785656354
3,0.2,9.999999999999999e-06,26.798952210744996,0.5955322713498888,0.24147900343161374,0.1747385556399091
3,0.2,1.2499999999999999e-05,26.798056630274502,0.5955123695616557,0.21044693608920312,0.23876991845987358
3,0.2,1.5e-05,27.07049599302824,0.6015665776228497,0.10937262721273384,0.11154507758792008
3,0.25,5e-06,26.888778868236503,0.5975284192941445,0.21756762706404945,0.19994847415658526
3,0.25,7.5e-06,26.884924412842626,0.5974427647298363,0.2242594945402827,0.1796341541138358
3,0.25,9.999999999999999e-06,27.05011738853016,0.6011137197451147,0.1216046125875729,0.11337609756936683
3,0.25,1.2499999999999999e-05,27.293302312782572,0.606517829172946,0.13851551017177172,0.1489757929129288
3,0.25,1.5e-05,27.07419301140261,0.6016487335867245,0.12522225023482478,0.11981734131247702
